service_id,date,exception_type
50534-_CO208-LAMJV,20260401,1
50534-_CO209-LAMJV,20260401,1
50534-_CO210-LAMJV,20260401,1
50534-_CO211-LAMJV,20260401,1
50534-_CO212-LAMJV,20260401,1
50538-__L150-LAMJV,20260401,1
50538-__L151-LAMJV,20260401,1
50538-__L152-LAMJV,20260401,1
50538-__L153-LAMJV,20260401,1
50538-__L154-LAMJV,20260401,1
50538-__L155-LAMJV,20260401,1
50538-__L156-LAMJV,20260401,1
50538-__L157-LAMJV,20260401,1
50538-__L158-LAMJV,20260401,1
50538-__L159-LAMJV,20260401,1
50538-__L160-LAMJV,20260401,1
50538-__L161-LAMJV,20260401,1
50538-__L162-LAMJV,20260401,1
50538-__L163-LAMJV,20260401,1
50538-__L164-LAMJV,20260401,1
50538-__L165-LAMJV,20260401,1
50538-__L166-LAMJV,20260401,1
50538-__L167-LAMJV,20260401,1
50538-__L168-LAMJV,20260401,1
50538-__L169-LAMJV,20260401,1
50538-__L170-LAMJV,20260401,1
50538-__L171-LAMJV,20260401,1
50538-__L172-LAMJV,20260401,1
50538-__L173-LAMJV,20260401,1
50554-__L250-LAMJV,20260401,1
50554-__L251-LAMJV,20260401,1
50554-__L252-LAMJV,20260401,1
50554-__L253-LAMJV,20260401,1
50554-__L254-LAMJV,20260401,1
50554-__L255-LAMJV,20260401,1
50554-__L256-LAMJV,20260401,1
50554-__L257-LAMJV,20260401,1
50554-__L258-LAMJV,20260401,1
50554-__L259-LAMJV,20260401,1
50554-__L260-LAMJV,20260401,1
50554-__L261-LAMJV,20260401,1
50562-__L701-LAMJV,20260401,1
50562-__L702-LAMJV,20260401,1
50562-__L703-LAMJV,20260401,1
50562-__L704-LAMJV,20260401,1
50562-__L705-LAMJV,20260401,1
50562-__L706-LAMJV,20260401,1
50562-__L707-LAMJV,20260401,1
50562-__L750-LAMJV,20260401,1
50562-__L751-LAMJV,20260401,1
50578-__Z601-LAMJV,20260401,1
50578-__Z602-LAMJV,20260401,1
50578-__Z603-LAMJV,20260401,1
50578-__Z604-LAMJV,20260401,1
50578-__Z605-LAMJV,20260401,1
50702-__1501-LAMJV,20260401,1
50702-__1502-LAMJV,20260401,1
50702-__1503-LAMJV,20260401,1
50702-__1504-LAMJV,20260401,1
50702-__1505-LAMJV,20260401,1
50702-__1506-LAMJV,20260401,1
50702-__1507-LAMJV,20260401,1
50702-__1508-LAMJV,20260401,1
50702-__1509-LAMJV,20260401,1
50702-__1510-LAMJV,20260401,1
50702-__1511-LAMJV,20260401,1
50702-__1512-LAMJV,20260401,1
50702-__1513-LAMJV,20260401,1
50702-__1514-LAMJV,20260401,1
50708-__3201-LAMJV,20260401,1
50708-__3202-LAMJV,20260401,1
50708-__3203-LAMJV,20260401,1
50708-__3204-LAMJV,20260401,1
50708-__3205-LAMJV,20260401,1
50708-__3206-LAMJV,20260401,1
50708-__3207-LAMJV,20260401,1
50708-__3208-LAMJV,20260401,1
50708-__3209-LAMJV,20260401,1
50708-__3210-LAMJV,20260401,1
50708-__3211-LAMJV,20260401,1
50708-__3212-LAMJV,20260401,1
50708-__3213-LAMJV,20260401,1
50708-__3214-LAMJV,20260401,1
50715-__5001-LAMJV,20260401,1
50715-__5002-LAMJV,20260401,1
50715-__5003-LAMJV,20260401,1
50715-__5004-LAMJV,20260401,1
50715-__5005-LAMJV,20260401,1
50715-__5006-LAMJV,20260401,1
50715-__5007-LAMJV,20260401,1
50715-__5008-LAMJV,20260401,1
50715-__5009-LAMJV,20260401,1
50715-__5010-LAMJV,20260401,1
50715-__5011-LAMJV,20260401,1
50715-__5012-LAMJV,20260401,1
50715-__5013-LAMJV,20260401,1
50715-__5014-LAMJV,20260401,1
50715-__5015-LAMJV,20260401,1
50736-_C1001-LAMJV,20260401,1
50736-_C1002-LAMJV,20260401,1
50736-_C1003-LAMJV,20260401,1
50739-_C1101-LAMJV,20260401,1
50746-_CO101-LAMJV,20260401,1
50746-_CO102-LAMJV,20260401,1
50746-_CO103-LAMJV,20260401,1
50746-_CO104-LAMJV,20260401,1
50746-_CO105-LAMJV,20260401,1
50746-_CO106-LAMJV,20260401,1
50746-_CO107-LAMJV,20260401,1
50746-_CO108-LAMJV,20260401,1
50746-_CO109-LAMJV,20260401,1
50746-_CO110-LAMJV,20260401,1
50746-_CO111-LAMJV,20260401,1
50746-_CO112-LAMJV,20260401,1
50746-_CO113-LAMJV,20260401,1
50746-_CO114-LAMJV,20260401,1
50749-_CO301-LAMJV,20260401,1
50749-_CO302-LAMJV,20260401,1
50749-_CO303-LAMJV,20260401,1
50749-_CO304-LAMJV,20260401,1
50749-_CO305-LAMJV,20260401,1
50749-_CO306-LAMJV,20260401,1
50749-_CO307-LAMJV,20260401,1
50749-_CO308-LAMJV,20260401,1
50749-_CO309-LAMJV,20260401,1
50749-_CO310-LAMJV,20260401,1
50749-_CO311-LAMJV,20260401,1
50749-_CO312-LAMJV,20260401,1
50749-_CO313-LAMJV,20260401,1
50749-_CO314-LAMJV,20260401,1
50749-_CO315-LAMJV,20260401,1
50749-_CO316-LAMJV,20260401,1
50749-_CO317-LAMJV,20260401,1
50749-_CO318-LAMJV,20260401,1
50749-_CO319-LAMJV,20260401,1
50749-_CO320-LAMJV,20260401,1
50799-__5501-LAMJV,20260401,1
50799-__5502-LAMJV,20260401,1
50799-__5503-LAMJV,20260401,1
50799-__5504-LAMJV,20260401,1
50799-__5505-LAMJV,20260401,1
50799-__5506-LAMJV,20260401,1
50799-__5507-LAMJV,20260401,1
50799-__5508-LAMJV,20260401,1
50799-__5509-LAMJV,20260401,1
50799-__5510-LAMJV,20260401,1
50799-__5511-LAMJV,20260401,1
50799-__5512-LAMJV,20260401,1
50799-__5513-LAMJV,20260401,1
50799-__5514-LAMJV,20260401,1
50799-__5515-LAMJV,20260401,1
50799-__5516-LAMJV,20260401,1
50799-__5517-LAMJV,20260401,1
50799-__5518-LAMJV,20260401,1
50799-__5519-LAMJV,20260401,1
50799-__5520-LAMJV,20260401,1
50799-__5521-LAMJV,20260401,1
50807-__6101-LAMJV,20260401,1
50807-__6102-LAMJV,20260401,1
50807-__6103-LAMJV,20260401,1
50807-__6104-LAMJV,20260401,1
50807-__6105-LAMJV,20260401,1
50807-__6106-LAMJV,20260401,1
50807-__6107-LAMJV,20260401,1
50807-__6108-LAMJV,20260401,1
50807-__6109-LAMJV,20260401,1
50807-__6110-LAMJV,20260401,1
50807-__6111-LAMJV,20260401,1
50807-__6112-LAMJV,20260401,1
50807-__6113-LAMJV,20260401,1
50807-__6114-LAMJV,20260401,1
50807-__6115-LAMJV,20260401,1
50807-__6116-LAMJV,20260401,1
50807-__6117-LAMJV,20260401,1
50807-__6118-LAMJV,20260401,1
50807-__6119-LAMJV,20260401,1
50807-__6120-LAMJV,20260401,1
50807-__6121-LAMJV,20260401,1
50807-__6122-LAMJV,20260401,1
50807-__6123-LAMJV,20260401,1
50807-__6124-LAMJV,20260401,1
50807-__6125-LAMJV,20260401,1
50809-__6201-LAMJV,20260401,1
50809-__6202-LAMJV,20260401,1
50809-__6203-LAMJV,20260401,1
50809-__6204-LAMJV,20260401,1
50809-__6205-LAMJV,20260401,1
50809-__6206-LAMJV,20260401,1
50809-__6207-LAMJV,20260401,1
50809-__6208-LAMJV,20260401,1
50809-__6209-LAMJV,20260401,1
50809-__6210-LAMJV,20260401,1
50809-__6211-LAMJV,20260401,1
50809-__6212-LAMJV,20260401,1
50809-__6213-LAMJV,20260401,1
50809-__6214-LAMJV,20260401,1
50809-__6216-LAMJV,20260401,1
50809-__6217-LAMJV,20260401,1
50809-__6218-LAMJV,20260401,1
50811-__6401-LAMJV,20260401,1
50811-__6402-LAMJV,20260401,1
50811-__6403-LAMJV,20260401,1
50811-__6404-LAMJV,20260401,1
50811-__6405-LAMJV,20260401,1
50811-__6406-LAMJV,20260401,1
50811-__6407-LAMJV,20260401,1
50811-__6409-LAMJV,20260401,1
50811-__6411-LAMJV,20260401,1
50811-__6412-LAMJV,20260401,1
50811-__6413-LAMJV,20260401,1
50811-__6415-LAMJV,20260401,1
50811-__6416-LAMJV,20260401,1
50811-__6417-LAMJV,20260401,1
50811-__6418-LAMJV,20260401,1
50811-__6419-LAMJV,20260401,1
50811-__6420-LAMJV,20260401,1
50811-__6421-LAMJV,20260401,1
50811-__6422-LAMJV,20260401,1
50811-__6472-LAMJV,20260401,1
50811-__6473-LAMJV,20260401,1
50811-__6476-M,20260401,1
50811-__6477-M,20260401,1
50811-__6478-M,20260401,1
50811-__6482-LAMJV,20260401,1
50811-__6483-LAMJV,20260401,1
50821-__6801-LAMJV,20260401,1
50821-__6802-LAMJV,20260401,1
50821-__6803-LAMJV,20260401,1
50821-__6804-LAMJV,20260401,1
50821-__6805-LAMJV,20260401,1
50821-__6815-LAMJV,20260401,1
50821-__6824-LAMJV,20260401,1
50821-__6825-LAMJV,20260401,1
50821-__6831-LAMJV,20260401,1
50821-__6834-LAMJV,20260401,1
50821-__6835-LAMJV,20260401,1
50821-__6841-LAMJV,20260401,1
50821-__6844-LAMJV,20260401,1
50821-__6845-LAMJV,20260401,1
50821-__6846-LAMJV,20260401,1
50824-__7201-LAMJV,20260401,1
50824-__7202-LAMJV,20260401,1
50824-__7203-LAMJV,20260401,1
50824-__7204-LAMJV,20260401,1
50824-__7205-LAMJV,20260401,1
50824-__7206-LAMJV,20260401,1
50824-__7207-LAMJV,20260401,1
50824-__7208-LAMJV,20260401,1
50824-__7209-LAMJV,20260401,1
50824-__7210-LAMJV,20260401,1
50824-__7211-LAMJV,20260401,1
50824-__7212-LAMJV,20260401,1
50824-__7213-LAMJV,20260401,1
50824-__7214-LAMJV,20260401,1
50824-__7215-LAMJV,20260401,1
50824-__7216-LAMJV,20260401,1
50827-__7301-LAMJV,20260401,1
50827-__7303-LAMJV,20260401,1
50827-__7306-M,20260401,1
50827-__7308-LAMJV,20260401,1
50831-__7801-LAMJV,20260401,1
50831-__7802-LAMJV,20260401,1
50831-__7803-LAMJV,20260401,1
50831-__7804-LAMJV,20260401,1
50831-__7805-LAMJV,20260401,1
50831-__7807-LAMJV,20260401,1
50831-__7808-LAMJV,20260401,1
50831-__7810-LAMJV,20260401,1
50831-__7811-LAMJV,20260401,1
50836-__8101-LAMJV,20260401,1
50836-__8102-LAMJV,20260401,1
50836-__8103-LAMJV,20260401,1
50836-__8104-LAMJV,20260401,1
50836-__8105-M,20260401,1
50836-__8106-M,20260401,1
50836-__8107-LAMJV,20260401,1
50836-__8108-LAMJV,20260401,1
50836-__8109-LAMJV,20260401,1
50836-__8110-LAMJV,20260401,1
50836-__8111-LAMJV,20260401,1
50836-__8112-LAMJV,20260401,1
50836-__8113-LAMJV,20260401,1
50838-__8201-LAMJV,20260401,1
50838-__8202-LAMJV,20260401,1
50838-__8203-LAMJV,20260401,1
50838-__8204-LAMJV,20260401,1
50838-__8205-LAMJV,20260401,1
50838-__8206-LAMJV,20260401,1
50838-__8207-LAMJV,20260401,1
50838-__8208-LAMJV,20260401,1
50838-__8209-LAMJV,20260401,1
50838-__8210-LAMJV,20260401,1
50838-__8211-LAMJV,20260401,1
50838-__8212-LAMJV,20260401,1
50838-__8213-M,20260401,1
50838-__8214-M,20260401,1
50838-__8215-M,20260401,1
50838-__8216-M,20260401,1
50838-__8217-M,20260401,1
50838-__8218-M,20260401,1
50838-__8219-LAMJV,20260401,1
50838-__8220-LAMJV,20260401,1
50838-__8224-LAMJV,20260401,1
50838-__8225-LAMJV,20260401,1
50838-__8226-LAMJV,20260401,1
50838-__8231-LAMJV,20260401,1
50838-__8232-LAMJV,20260401,1
50838-__8233-LAMJV,20260401,1
50838-__8234-LAMJV,20260401,1
50838-__8235-LAMJV,20260401,1
50838-__8237-LAMJV,20260401,1
50838-__8238-LAMJV,20260401,1
50838-__8239-LAMJV,20260401,1
50838-__8240-LAMJV,20260401,1
50838-__8241-LAMJV,20260401,1
50838-__8242-LAMJV,20260401,1
50838-__8290-LAMJV,20260401,1
50838-__8291-LAMJV,20260401,1
50838-__8293-LAMJV,20260401,1
50838-__8294-M,20260401,1
50851-_90101-M,20260401,1
50851-_90102-LAMJV,20260401,1
50852-_90201-M,20260401,1
50852-_90202-LAMJV,20260401,1
50852-_90203-M,20260401,1
50852-_90204-LAMJV,20260401,1
50852-_90205-M,20260401,1
50852-_90206-LAMJV,20260401,1
